Region,Satellite,Image Type,Date,Cloud Cover,Product ID,Bands,Values,Processing,basename,metadata_path,image_path
Ross_North_West,SENTINEL2,RAW (unprocessed),2020-11-05,58.917887%,S2B_MSIL2A_20201105T193519_N0214_R113_T59CNP_20201105T213205,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Ross_North_West_2020-11-05_S2_RAW,../data/raw/raw_images/metadata/Ross_North_West_2020-11-05_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Ross_North_West_2020-11-05_S2_RAW.tif
Crosson_Front,SENTINEL2,RAW (unprocessed),2024-11-11,48.137495%,S2B_MSIL2A_20241111T160329_N0511_R068_T12CWC_20241111T192323,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Crosson_Front_2024-11-11_S2_RAW,../data/raw/raw_images/metadata/Crosson_Front_2024-11-11_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Crosson_Front_2024-11-11_S2_RAW.tif
Crosson_Front,SENTINEL2,RAW (unprocessed),2021-12-02,0.07532%,S2B_MSIL2A_20211202T151259_N0301_R139_T12CWC_20211202T183957,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Crosson_Front_2021-12-02_S2_RAW,../data/raw/raw_images/metadata/Crosson_Front_2021-12-02_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Crosson_Front_2021-12-02_S2_RAW.tif
Moscow_Uni_Front,SENTINEL2,RAW (unprocessed),2018-12-26,17.742635%,S2B_MSIL2A_20181226T024549_N0211_R103_T46DEM_20181226T060031,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Moscow_Uni_Front_2018-12-26_S2_RAW,../data/raw/raw_images/metadata/Moscow_Uni_Front_2018-12-26_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Moscow_Uni_Front_2018-12-26_S2_RAW.tif
Larsen_C_South,SENTINEL2,RAW (unprocessed),2023-11-20,50.064194%,S2B_MSIL2A_20231120T124859_N0509_R109_T20DNK_20231120T143549,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Larsen_C_South_2023-11-20_S2_RAW,../data/raw/raw_images/metadata/Larsen_C_South_2023-11-20_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Larsen_C_South_2023-11-20_S2_RAW.tif
Ross_East_Front,SENTINEL2,RAW (unprocessed),2018-02-19,11.15228%,S2B_MSIL2A_20180219T193509_N0500_R113_T02CMU_20230803T223933,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Ross_East_Front_2018-02-19_S2_RAW,../data/raw/raw_images/metadata/Ross_East_Front_2018-02-19_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Ross_East_Front_2018-02-19_S2_RAW.tif
Cook_Front,SENTINEL2,RAW (unprocessed),2024-11-11,78.835642%,S2B_MSIL2A_20241111T224329_N0511_R072_T55DFD_20241111T235807,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Cook_Front_2024-11-11_S2_RAW,../data/raw/raw_images/metadata/Cook_Front_2024-11-11_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Cook_Front_2024-11-11_S2_RAW.tif
Shackleton_Front,SENTINEL2,RAW (unprocessed),2023-02-10,71.610045%,S2B_MSIL2A_20230210T023549_N0509_R060_T46DFN_20230210T055906,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Shackleton_Front_2023-02-10_S2_RAW,../data/raw/raw_images/metadata/Shackleton_Front_2023-02-10_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Shackleton_Front_2023-02-10_S2_RAW.tif
Totten_Front,SENTINEL2,RAW (unprocessed),2024-11-03,4.403376%,S2B_MSIL2A_20241103T013539_N0511_R088_T50DMM_20241103T025558,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Totten_Front_2024-11-03_S2_RAW,../data/raw/raw_images/metadata/Totten_Front_2024-11-03_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Totten_Front_2024-11-03_S2_RAW.tif
Moscow_Uni_Front,SENTINEL2,RAW (unprocessed),2022-11-08,66.85316%,S2B_MSIL2A_20221108T025609_N0400_R003_T46DEM_20221108T045011,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Moscow_Uni_Front_2022-11-08_S2_RAW,../data/raw/raw_images/metadata/Moscow_Uni_Front_2022-11-08_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Moscow_Uni_Front_2022-11-08_S2_RAW.tif
